seq,IR,Red
45,224004,203901
45,224003,203955
45,223997,203936
45,224020,203992
45,224009,203901
45,224028,203865
45,224009,203920
46,224022,203947
46,224037,203961
46,224041,203973
46,224027,203962
46,224021,203915
46,224044,203992
46,224046,203959
46,224039,203904
46,224055,203914
46,224045,203909
46,224042,203917
46,224049,203868
46,224047,203890
46,224051,203939
46,224044,203924
46,224053,204013
46,224058,203914
46,224069,203874
46,224063,203919
46,224077,203887
46,224079,203941
46,224087,203903
46,224081,203894
46,224087,203901
46,224089,203909
46,224100,203910
46,224096,204005
46,224099,204019
46,224105,204018
46,224109,203941
46,224106,203959
46,224120,203901
47,224114,203883
47,224124,203957
47,224118,203915
47,224108,203885
47,224092,203899
47,224093,203974
47,224059,203889
47,224051,203863
47,224026,203908
47,223995,203912
47,223979,203884
47,223969,203851
47,223944,203871
47,223924,203803
47,223925,203856
47,223917,203855
47,223898,203814
47,223910,203839
47,223906,203856
47,223907,203802
47,223895,203831
47,223902,203808
47,223915,203834
47,223902,203780
47,223921,203836
47,223916,203931
47,223923,203835
47,223937,203835
47,223958,203860
47,223935,203859
47,223958,203860
47,223947,203914
48,223946,203851
48,223986,203850
48,223988,203850
48,223968,203858
48,223975,203873
48,223998,203877
48,223965,203835
48,223987,203828
48,223982,203895
48,223999,203920
48,224006,203924
48,223997,203946
48,224009,203871
48,223992,203855
48,224014,203833
48,224007,203878
48,224024,203882
48,224015,203842
48,224017,203871
48,224020,203840
48,224028,203854
48,224016,203877
48,224027,203865
48,224017,203777
48,224021,203843
48,224019,203840
48,224008,203864
48,224019,203886
48,224034,203842
48,224024,203815
48,224030,203830
48,224028,203871
49,224030,203853
49,224102,203859
49,224095,203862
49,224103,203843
49,224083,203825
49,224084,203870
49,224095,203824
49,224089,203799
49,224101,203837
49,224088,203859
49,224093,203843
49,224106,203845
49,224091,203850
49,224109,203898
49,224101,203941
49,224111,203892
49,224103,203866
49,224111,203854
49,224107,203876
49,224118,203896
49,224112,203931
49,224124,203825
49,224110,203890
49,224131,203875
49,224132,203919
49,224138,203876
49,224144,203881
49,224141,203875
49,224145,203849
49,224143,203851
49,224155,203886
49,224160,203838
50,224155,203874
50,224158,203847
50,224157,203867
50,224168,203928
50,224187,203898
50,224175,203821
50,224187,203892
50,224184,203883
50,224181,203867
50,224194,203918
50,224110,203890
50,224183,203903
50,224190,203856
50,224204,203883
50,224202,203892
50,224206,203841
50,224220,203870
50,224211,203876
50,224205,203833
50,224227,203883
50,224214,203904
50,224219,203939
50,224223,203895
50,224220,203906
50,224230,203843
50,224219,203924
50,224219,203940
50,224216,203899
50,224212,203871
50,224218,203883
